﻿ID,LevelName,RequiredXiuyi,Description,
,string,等级名称,所需修为,等级描述
1,练气1层,0,修仙路上的起点,
2,练气2层,30,初步感应灵气,
3,练气3层,80,灵气入体,
4,练气4层,150,经脉初通,
5,练气5层,240,灵气流转,
6,练气6层,360,气感敏锐,
7,练气7层,500,灵气充盈,
8,练气8层,680,经脉大通,
9,练气9层,900,练气圆满在望,
10,练气10层,1200,练气大圆满,
11,筑基1层,1600,凝结道基,
12,筑基2层,2200,道基初成,
13,筑基3层,3000,道基稳固,
14,筑基4层,4000,灵力凝实,
15,筑基5层,5200,灵力充沛,
16,筑基6层,6800,道基精纯,
17,筑基7层,8800,灵力如潮,
18,筑基8层,11500,道基通明,
19,筑基9层,15000,筑基圆满在望,
20,筑基10层,20000,筑基大圆满,
21,金丹1层,28000,凝结金丹,
22,金丹2层,38000,金丹初成,
23,金丹3层,50000,金丹稳固,
24,金丹4层,65000,丹力充沛,
25,金丹5层,85000,金丹精纯,
26,金丹6层,110000,丹力如海,
27,金丹7层,140000,金丹通明,
28,金丹8层,180000,金丹大成,
29,金丹9层,230000,金丹圆满在望,
30,金丹10层,300000,金丹大圆满,
31,元婴1层,400000,凝结元婴,
32,元婴2层,520000,元婴初成,
33,元婴3层,670000,元婴稳固,
34,元婴4层,850000,元婴壮大,
35,元婴5层,1100000,元婴充沛,
36,元婴6层,1400000,元婴精纯,
37,元婴7层,1800000,元婴通明,
38,元婴8层,2300000,元婴大成,
39,元婴9层,3000000,元婴圆满在望,
40,元婴10层,3800000,元婴大圆满,
41,化神1层,5000000,化神初入,
42,化神2层,6500000,神识初展,
43,化神3层,8500000,神识稳固,
44,化神4层,11000000,神识壮大,
45,化神5层,14000000,神识充沛,
46,化神6层,18000000,神识精纯,
47,化神7层,23000000,神识通明,
48,化神8层,30000000,化神大成,
49,化神9层,38000000,化神圆满在望,
50,化神10层,48000000,化神大圆满,
51,炼虚1层,62000000,炼虚合道,
52,炼虚2层,78000000,虚实相生,
53,炼虚3层,98000000,道法自然,
54,炼虚4层,125000000,虚空凝实,
55,炼虚5层,158000000,大道初现,
56,炼虚6层,200000000,虚空通明,
57,炼虚7层,250000000,炼虚大成,
58,炼虚8层,320000000,炼虚圆满在望,
59,炼虚9层,400000000,即将突破合体,
60,炼虚10层,500000000,炼虚大圆满,
61,合体1层,650000000,合体初入,
62,合体2层,830000000,形神合一,
63,合体3层,1050000000,合体稳固,
64,合体4层,1350000000,天人交感,
65,合体5层,1700000000,合体充沛,
66,合体6层,2200000000,合体精纯,
67,合体7层,2800000000,合体通明,
68,合体8层,3600000000,合体大成,
69,合体9层,4500000000,合体圆满在望,
70,合体10层,5700000000,合体大圆满,
71,大乘1层,7200000000,大乘初入,
72,大乘2层,9200000000,大道显化,
73,大乘3层,11800000000,大乘稳固,
74,大乘4层,15000000000,天道感应,
75,大乘5层,19000000000,大乘充沛,
76,大乘6层,24000000000,大乘精纯,
77,大乘7层,31000000000,大乘通明,
78,大乘8层,39000000000,大乘大成,
79,大乘9层,50000000000,大乘圆满在望,
80,大乘10层,63000000000,大乘大圆满,
81,渡劫1层,80000000000,天劫降临,
82,渡劫2层,100000000000,雷劫初渡,
83,渡劫3层,128000000000,渡劫稳固,
84,渡劫4层,163000000000,九天雷劫,
85,渡劫5层,208000000000,渡劫充沛,
86,渡劫6层,265000000000,天劫精纯,
87,渡劫7层,338000000000,渡劫通明,
88,渡劫8层,430000000000,渡劫大成,
89,渡劫9层,550000000000,渡劫圆满在望,
90,渡劫10层,700000000000,渡劫大圆满,
91,飞升,900000000000,飞升成仙,
